Accession,Submitters,Release_Date,Pangolin,Species,Molecule_type,Length,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date
MT679155.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.332,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29868,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679156.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29886,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679157.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29873,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679158.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679159.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29900,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679160.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29870,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679161.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679162.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29866,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679163.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679164.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29901,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679165.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29826,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679166.1,"Fink,L.",2020-06-30T00:00:00Z,B.1.332,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29865,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679167.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29842,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679168.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29867,complete,USA: Virginia,VA,Homo sapiens,,2020-05
MT679169.1,"Fink,L.",2020-06-30T00:00:00Z,B.1,Severe acute respiratory syndrome-related coronavirus,ssRNA(+),29861,complete,USA: Virginia,VA,Homo sapiens,,2020-05
